#dataset: GeoCSV 2.0
#delimiter: |
#field_unit: unitless|unitless|unitless|unitless|unitless|hertz|ISO_8601|ISO_8601
#field_type: string|string|string|string|string|float|datetime|datetime
Network|Station|Location|Channel|Quality|SampleRate|Earliest|Latest
IU|COLA|10|BH2|M|40.0|2020-03-10T23:14:06.744536Z|2020-03-24T18:03:55.019536Z
IU|COLA|10|BH2|M|40.0|2020-03-24T18:04:11.069536Z|2020-03-24T23:41:14.569539Z
IU|COLA|10|BH2|M|40.0|2020-03-25T00:00:00.019541Z|2020-05-13T18:19:45.269538Z
IU|COLA|10|BH2|M|40.0|2020-05-13T18:47:09.844539Z|2020-06-22T15:15:58.569539Z
IU|COLA|10|BH2|M|40.0|2020-06-22T15:16:31.594539Z|2020-08-28T21:55:04.569538Z
IU|COLA|10|BH2|M|40.0|2020-08-28T21:56:33.594538Z|2021-01-13T12:37:19.294538Z
IU|COLA|10|BH2|M|40.0|2021-01-13T23:38:55.594539Z|2021-06-09T19:52:01.144539Z
IU|COLA|10|BH2|M|40.0|2021-06-09T19:52:06.369539Z|2022-01-09T06:46:25.469538Z
IU|COLA|10|BH2|M|40.0|2022-01-09T06:47:50.819538Z|2022-03-10T23:44:13.169538Z
IU|COLA|10|BH2|M|40.0|2022-03-10T23:45:44.394538Z|2022-05-05T23:33:35.569536Z
IU|COLA|10|BH2|M|40.0|2022-05-05T23:33:36.594538Z|2022-09-08T06:46:30.519539Z
IU|COLA|10|BH2|M|40.0|2022-09-08T06:47:37.594539Z|2022-11-18T05:59:55.394536Z
IU|COLA|10|BH2|M|40.0|2022-11-18T15:21:51.594536Z|2023-07-10T18:02:26.569536Z
IU|COLA|10|BH2|M|40.0|2023-07-10T18:26:42.594538Z|2023-07-10T18:38:16.569538Z
IU|COLA|10|BH2|M|40.0|2023-07-10T18:38:19.594539Z|2023-07-10T19:20:37.569539Z
IU|COLA|10|BH2|M|40.0|2023-07-10T19:21:12.594539Z|2023-07-11T17:10:32.569536Z
IU|COLA|10|BH2|M|40.0|2023-07-11T17:11:24.594548Z|2023-12-10T18:22:49.419538Z
IU|COLA|10|BH2|M|40.0|2023-12-10T18:49:00.944536Z|2023-12-20T18:39:38.944536Z
IU|COLA|10|BH2|M|40.0|2023-12-20T18:48:15.044538Z|2024-07-01T00:00:00.000000Z
IU|COLA|10|BHZ|M|40.0|2020-01-01T00:00:00.000000Z|2020-01-09T13:54:54.319538Z
IU|COLA|10|BHZ|M|40.0|2020-01-09T13:55:00.594538Z|2020-02-22T05:10:21.569538Z
IU|COLA|10|BHZ|M|40.0|2020-02-22T05:10:30.319538Z|2020-03-10T19:10:56.444539Z
IU|COLA|10|BHZ|M|40.0|2020-03-10T19:11:04.219538Z|2020-03-10T23:13:40.019538Z
IU|COLA|10|BHZ|M|40.0|2020-03-10T23:14:05.469538Z|2020-03-24T18:03:52.744538Z
IU|COLA|10|BHZ|M|40.0|2020-03-24T18:04:15.419536Z|2020-03-24T23:41:20.344539Z
IU|COLA|10|BHZ|M|40.0|2020-03-25T00:00:00.019541Z|2020-05-13T18:19:43.919539Z
IU|COLA|10|BHZ|M|40.0|2020-05-13T18:47:13.344541Z|2020-06-22T15:15:58.569539Z
IU|COLA|10|BHZ|M|40.0|2020-06-22T15:16:31.594539Z|2020-08-28T21:55:04.569538Z
IU|COLA|10|BHZ|M|40.0|2020-08-28T21:56:33.594538Z|2021-01-13T12:37:14.919538Z
IU|COLA|10|BHZ|M|40.0|2021-01-13T23:38:55.594539Z|2021-07-09T02:56:04.269538Z
IU|COLA|10|BHZ|M|40.0|2021-07-09T02:56:05.594538Z|2022-01-09T06:46:25.794538Z
IU|COLA|10|BHZ|M|40.0|2022-01-09T06:47:50.844538Z|2022-03-10T23:44:15.269536Z
IU|COLA|10|BHZ|M|40.0|2022-03-10T23:45:44.444538Z|2022-09-08T06:46:35.794539Z
IU|COLA|10|BHZ|M|40.0|2022-09-08T06:47:36.744539Z|2022-11-18T05:59:57.119538Z
IU|COLA|10|BHZ|M|40.0|2022-11-18T15:21:51.594536Z|2023-07-10T18:02:26.569536Z
IU|COLA|10|BHZ|M|40.0|2023-07-10T18:26:42.594538Z|2023-07-10T18:38:16.569538Z
IU|COLA|10|BHZ|M|40.0|2023-07-10T18:38:19.594539Z|2023-07-10T19:20:37.569538Z
IU|COLA|10|BHZ|M|40.0|2023-07-10T19:21:12.594539Z|2023-07-11T17:10:32.569536Z
IU|COLA|10|BHZ|M|40.0|2023-07-11T17:11:24.594538Z|2023-12-10T18:22:53.544538Z
IU|COLA|10|BHZ|M|40.0|2023-12-10T18:49:05.144536Z|2023-12-20T18:39:36.819538Z
IU|COLA|10|BHZ|M|40.0|2023-12-20T18:48:14.069538Z|2024-07-01T00:00:00.000000Z
IU|COLA|10|LH1|M|1.0|2020-01-01T00:00:00.000000Z|2020-01-09T13:54:17.069538Z
IU|COLA|10|LH1|M|1.0|2020-01-09T13:54:46.069538Z|2020-03-10T23:10:14.069536Z
IU|COLA|10|LH1|M|1.0|2020-03-10T23:13:28.069538Z|2020-03-24T23:38:24.069538Z
IU|COLA|10|LH1|M|1.0|2020-03-25T00:00:00.069539Z|2020-05-13T18:18:16.069538Z
IU|COLA|10|LH1|M|1.0|2020-05-13T18:43:14.069539Z|2020-06-22T15:15:43.069538Z
IU|COLA|10|LH1|M|1.0|2020-06-22T15:16:17.069553Z|2020-08-28T21:54:49.069538Z
IU|COLA|10|LH1|M|1.0|2020-08-28T21:56:19.069550Z|2021-01-13T12:36:13.069538Z
IU|COLA|10|LH1|M|1.0|2021-01-13T23:38:41.069539Z|2021-07-09T02:51:39.069539Z
IU|COLA|10|LH1|M|1.0|2021-07-09T02:55:51.069538Z|2022-01-09T06:43:41.069538Z
IU|COLA|10|LH1|M|1.0|2022-01-09T06:47:25.069538Z|2022-03-10T23:40:59.069538Z
IU|COLA|10|LH1|M|1.0|2022-03-10T23:44:52.069538Z|2022-11-18T05:57:22.069538Z
IU|COLA|10|LH1|M|1.0|2022-11-18T15:21:37.069536Z|2023-07-10T18:02:11.069536Z
IU|COLA|10|LH1|M|1.0|2023-07-10T18:26:28.069538Z|2023-07-10T18:38:01.069538Z
IU|COLA|10|LH1|M|1.0|2023-07-10T18:38:05.069548Z|2023-07-10T19:20:22.069538Z
IU|COLA|10|LH1|M|1.0|2023-07-10T19:20:58.069552Z|2023-07-11T17:10:17.069538Z
